Fecha,Muestreo No,Punto de muestreo,Punto,Rio,Cordenadas,ICA_IDEAM,OD (%),pH,DQO (mg/L),CE (µS/cm),SST (mg/L)
"Agosto 1 de 2016,1,Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31),Intermedio,Lili,3.365467; -76.531406 ,0.72,68.26,6.61,12,226,7"
"Agosto 1 de 2016,1,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,3.362489; -76.523748 ,0.76,71.89,6.65,13,199.1,7"
"Agosto 3 de 2016,1,""Entrada al perimetro urbano (Via a La Buitrera-puente Base Militar ,Entrada,Melendez,3.376495; -76.562282 ,0.88,84.8,7.72,12,120.4,7"
"Agosto 3 de 2016,1,""Intermedio (Pasoancho-Cra 80 Con Cll13 ,Intermedio,Melendez,3.383499; -76.53819 ,0.86,76.41,7.62,12,125,7"
"Agosto 3 de 2016,1,""Intermedio  (Av Simon Bolivar-Cra 80 Simon Bolivar ,Intermedio,Melendez,3.387783; -76.523454 ,0.85,69.26,7.3,12,121.4,7"
"Agosto 3 de 2016,1,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,3.388238; -76.511798 ,0.64,54.81,7.29,35.5,241,7"
"Agosto 1 de 2016,1,Entrada al perimetro urbano(Puente Sede DeporCali),Entrada,Pance,3.337867; -76.550058 ,0.95,106.57,7.12,12,44.5,7"
"Agosto 1 de 2016,1,""Intermedio (Mina Material de arrastre-Entrada via destapada ,Intermedio,Pance,3.319117; -76.547228 ,0.9,112.97,8.41,12,47.3,7"
"Agosto 1 de 2016,1,""Salida ( Puente La Viga-Via Cañas Gordas ,Salida,Pance,3.310437; -76.543845 ,0.92,103.23,8.4,12,47.4,7.3"
"Diciembre 6 de 2016,2,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,3.455889; -76.571089 ,0.72,97.19,8.55,16.31,266,21"
"Diciembre 6 de 2016,2,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,3.459351; -76.555948 ,0.72,74.66,7.79,19.88,634,23.46"
"Diciembre 6 de 2016,2,""Salida(El Ancla-antes de desembocar el Rio Cali ,Salida(El,Aguacatal,3.457582; -76.561671 ,0.73,85.63,8.12,16.32,352,20.8"
"Diciembre 6 de 2016,2,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,3.454159; -76.582725 ,0.88,106.09,7.96,12,146.9,11.57"
"Diciembre 6 de 2016,2,""Intermedio (Despues de la entrega del Rio Aguacatal-Frente al Museo La Tertulia ,Intermedio,Cali,3.450854; -76.545478 ,0.88,98.18,7.58,12,146.2,20.5"
"Diciembre 6 de 2016,2,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,3.462238; -76.522464 ,0.87,104.68,7.92,12,148.9,21.4"
"Diciembre 6 de 2016,2,""Intermedio (Frente al barrio La Isla-Puente Cancha Vivero ,Intermedio,Cali,3.472989; -76.514449 ,0.85,96.67,6.77,16.53,150.8,23.48"
"Diciembre 6 de 2016,2,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,3.488176; -76.503429 ,0.86,93.83,7.39,12,156.8,26.5"
"Diciembre 6 de 2016,2,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,3.505551; -76.494079 ,0.55,60.64,7.47,78.6,255,28"
"Diciembre 5 de 2016,2,Entrada al perimetro urbano (Colegio Ideas),Entrada,Canaveralejo,3.411012; -76.568899 ,0.77,65.39,7.37,12,202.8,11.57"
"Diciembre 5 de 2016,2,Intermedio  (Plaza de Toros),Intermedio,Canaveralejo,3.410114; -76.548981 ,0.7,54.02,7.43,29.66,261,13"
"Diciembre 5 de 2016,2,""Salida (Antes de desemboocar al Canal Sur-Cra 50 Cll 17 ,Salida,Canaveralejo,3.406276; -76.526477 ,0.53,62.89,7.37,76.47,371,85"
"Diciembre 5 de 2016,2,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,3.363799; -76.544643 ,0.61,56.26,6.28,13.7,338,51"
"Diciembre 5 de 2016,2,Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31),Intermedio,Lili,3.365467; -76.531406 ,0.77,77.52,6.54,12,189.1,11.2"
"Diciembre 5 de 2016,2,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,3.362489; -76.523748 ,0.75,57.35,6.57,12.32,162.2,9.8"
"Diciembre 6 de 2016,2,""Entrada al perimetro urbano (Via a La Buitrera-puente Base Militar ,Entrada,Melendez,3.376495; -76.562282 ,0.93,94.63,7.64,12,74.9,22"
